Time_ns,Coherence,Sigma_x,Sigma_y,Sigma_z,Threshold
0.0,1.0,1.0,0.0,0.0,0.367879
0.2002,0.979199,0.979199,0.0,0.002,0.367879
0.4004,0.95883,0.95883,0.0,0.003996,0.367879
0.6006,0.938885,0.938885,0.0,0.005988,0.367879
0.8008,0.919354,0.919354,0.0,0.007976,0.367879
1.001,0.90023,0.90023,0.0,0.00996,0.367879
1.2012,0.881504,0.881504,0.0,0.01194,0.367879
1.4014,0.863168,0.863168,0.0,0.013916,0.367879
1.6016,0.845212,0.845212,0.0,0.015888,0.367879
1.8018,0.827631,0.827631,0.0,0.017857,0.367879
2.002,0.810415,0.810415,0.0,0.019821,0.367879
2.2022,0.793557,0.793557,0.0,0.021781,0.367879
2.4024,0.777049,0.777049,0.0,0.023738,0.367879
2.6026,0.760885,0.760885,0.0,0.02569,0.367879
2.8028,0.745058,0.745058,0.0,0.027639,0.367879
3.003,0.729559,0.729559,0.0,0.029584,0.367879
3.2032,0.714383,0.714383,0.0,0.031524,0.367879
3.4034,0.699523,0.699523,0.0,0.033461,0.367879
3.6036,0.684972,0.684972,0.0,0.035394,0.367879
3.8038,0.670723,0.670723,0.0,0.037324,0.367879
4.004,0.656771,0.656771,0.0,0.039249,0.367879
4.2042,0.643109,0.643109,0.0,0.041171,0.367879
4.4044,0.629731,0.629731,0.0,0.043088,0.367879
4.6046,0.616632,0.616632,0.0,0.045002,0.367879
4.8048,0.603805,0.603805,0.0,0.046912,0.367879
5.005,0.591245,0.591245,0.0,0.048818,0.367879
5.2052,0.578946,0.578946,0.0,0.050721,0.367879
5.4054,0.566903,0.566903,0.0,0.052619,0.367879
5.6056,0.555111,0.555111,0.0,0.054514,0.367879
5.8058,0.543563,0.543563,0.0,0.056405,0.367879
6.006,0.532256,0.532256,0.0,0.058292,0.367879
6.2062,0.521185,0.521185,0.0,0.060175,0.367879
6.4064,0.510343,0.510343,0.0,0.062055,0.367879
6.6066,0.499727,0.499727,0.0,0.063931,0.367879
6.8068,0.489332,0.489332,0.0,0.065803,0.367879
7.007,0.479153,0.479153,0.0,0.067672,0.367879
7.2072,0.469186,0.469186,0.0,0.069536,0.367879
7.4074,0.459426,0.459426,0.0,0.071397,0.367879
7.6076,0.449869,0.449869,0.0,0.073254,0.367879
7.8078,0.440511,0.440511,0.0,0.075108,0.367879
8.008,0.431348,0.431348,0.0,0.076958,0.367879
8.2082,0.422375,0.422375,0.0,0.078804,0.367879
8.4084,0.413589,0.413589,0.0,0.080646,0.367879
8.6086,0.404986,0.404986,0.0,0.082485,0.367879
8.8088,0.396562,0.396562,0.0,0.08432,0.367879
9.009,0.388312,0.388312,0.0,0.086151,0.367879
9.2092,0.380235,0.380235,0.0,0.087979,0.367879
9.4094,0.372325,0.372325,0.0,0.089803,0.367879
9.6096,0.36458,0.36458,0.0,0.091623,0.367879
9.8098,0.356997,0.356997,0.0,0.09344,0.367879
10.01,0.349571,0.349571,0.0,0.095253,0.367879
10.2102,0.342299,0.342299,0.0,0.097063,0.367879
10.4104,0.335179,0.335179,0.0,0.098869,0.367879
10.6106,0.328206,0.328206,0.0,0.100671,0.367879
10.8108,0.321379,0.321379,0.0,0.102469,0.367879
11.011,0.314694,0.314694,0.0,0.104264,0.367879
11.2112,0.308148,0.308148,0.0,0.106056,0.367879
11.4114,0.301738,0.301738,0.0,0.107844,0.367879
11.6116,0.295461,0.295461,0.0,0.109628,0.367879
11.8118,0.289315,0.289315,0.0,0.111409,0.367879
12.012,0.283297,0.283297,0.0,0.113186,0.367879
12.2122,0.277404,0.277404,0.0,0.11496,0.367879
12.4124,0.271633,0.271633,0.0,0.11673,0.367879
12.6126,0.265983,0.265983,0.0,0.118496,0.367879
12.8128,0.26045,0.26045,0.0,0.120259,0.367879
13.013,0.255032,0.255032,0.0,0.122019,0.367879
13.2132,0.249727,0.249727,0.0,0.123775,0.367879
13.4134,0.244533,0.244533,0.0,0.125527,0.367879
13.6136,0.239446,0.239446,0.0,0.127276,0.367879
13.8138,0.234465,0.234465,0.0,0.129022,0.367879
14.014,0.229588,0.229588,0.0,0.130764,0.367879
14.2142,0.224812,0.224812,0.0,0.132502,0.367879
14.4144,0.220136,0.220136,0.0,0.134237,0.367879
14.6146,0.215556,0.215556,0.0,0.135969,0.367879
14.8148,0.211073,0.211073,0.0,0.137697,0.367879
15.015,0.206682,0.206682,0.0,0.139421,0.367879
15.2152,0.202383,0.202383,0.0,0.141142,0.367879
15.4154,0.198173,0.198173,0.0,0.14286,0.367879
15.6156,0.19405,0.19405,0.0,0.144574,0.367879
15.8158,0.190014,0.190014,0.0,0.146285,0.367879
16.016,0.186061,0.186061,0.0,0.147993,0.367879
16.2162,0.182191,0.182191,0.0,0.149697,0.367879
16.4164,0.178401,0.178401,0.0,0.151397,0.367879
16.6166,0.17469,0.17469,0.0,0.153094,0.367879
16.8168,0.171056,0.171056,0.0,0.154788,0.367879
17.017,0.167498,0.167498,0.0,0.156479,0.367879
17.2172,0.164014,0.164014,0.0,0.158166,0.367879
17.4174,0.160602,0.160602,0.0,0.159849,0.367879
17.6176,0.157261,0.157261,0.0,0.16153,0.367879
17.8178,0.15399,0.15399,0.0,0.163207,0.367879
18.018,0.150787,0.150787,0.0,0.16488,0.367879
18.2182,0.14765,0.14765,0.0,0.166551,0.367879
18.4184,0.144579,0.144579,0.0,0.168217,0.367879
18.6186,0.141571,0.141571,0.0,0.169881,0.367879
18.8188,0.138626,0.138626,0.0,0.171541,0.367879
19.019,0.135743,0.135743,0.0,0.173198,0.367879
19.2192,0.132919,0.132919,0.0,0.174852,0.367879
19.4194,0.130154,0.130154,0.0,0.176502,0.367879
19.6196,0.127447,0.127447,0.0,0.178149,0.367879
19.8198,0.124796,0.124796,0.0,0.179793,0.367879
20.02,0.1222,0.1222,0.0,0.181433,0.367879
20.2202,0.119658,0.119658,0.0,0.18307,0.367879
20.4204,0.117169,0.117169,0.0,0.184704,0.367879
20.6206,0.114731,0.114731,0.0,0.186335,0.367879
20.8208,0.112345,0.112345,0.0,0.187962,0.367879
21.021,0.110008,0.110008,0.0,0.189586,0.367879
21.2212,0.107719,0.107719,0.0,0.191207,0.367879
21.4214,0.105479,0.105479,0.0,0.192825,0.367879
21.6216,0.103285,0.103285,0.0,0.194439,0.367879
21.8218,0.101136,0.101136,0.0,0.19605,0.367879
22.022,0.099032,0.099032,0.0,0.197658,0.367879
22.2222,0.096972,0.096972,0.0,0.199263,0.367879
22.4224,0.094955,0.094955,0.0,0.200864,0.367879
22.6226,0.09298,0.09298,0.0,0.202462,0.367879
22.8228,0.091046,0.091046,0.0,0.204057,0.367879
23.023,0.089152,0.089152,0.0,0.205649,0.367879
23.2232,0.087297,0.087297,0.0,0.207238,0.367879
23.4234,0.085482,0.085482,0.0,0.208824,0.367879
23.6236,0.083703,0.083703,0.0,0.210406,0.367879
23.8238,0.081962,0.081962,0.0,0.211985,0.367879
24.024,0.080257,0.080257,0.0,0.213561,0.367879
24.2242,0.078588,0.078588,0.0,0.215134,0.367879
24.4244,0.076953,0.076953,0.0,0.216704,0.367879
24.6246,0.075352,0.075352,0.0,0.21827,0.367879
24.8248,0.073785,0.073785,0.0,0.219834,0.367879
25.025,0.07225,0.07225,0.0,0.221394,0.367879
25.2252,0.070747,0.070747,0.0,0.222951,0.367879
25.4254,0.069275,0.069275,0.0,0.224505,0.367879
25.6256,0.067834,0.067834,0.0,0.226056,0.367879
25.8258,0.066423,0.066423,0.0,0.227604,0.367879
26.026,0.065042,0.065042,0.0,0.229149,0.367879
26.2262,0.063689,0.063689,0.0,0.230691,0.367879
26.4264,0.062364,0.062364,0.0,0.232229,0.367879
26.6266,0.061067,0.061067,0.0,0.233765,0.367879
26.8268,0.059796,0.059796,0.0,0.235297,0.367879
27.027,0.058552,0.058552,0.0,0.236827,0.367879
27.2272,0.057334,0.057334,0.0,0.238353,0.367879
27.4274,0.056142,0.056142,0.0,0.239876,0.367879
27.6276,0.054974,0.054974,0.0,0.241397,0.367879
27.8278,0.05383,0.05383,0.0,0.242914,0.367879
28.028,0.052711,0.052711,0.0,0.244428,0.367879
28.2282,0.051614,0.051614,0.0,0.245939,0.367879
28.4284,0.050541,0.050541,0.0,0.247447,0.367879
28.6286,0.049489,0.049489,0.0,0.248952,0.367879
28.8288,0.04846,0.04846,0.0,0.250455,0.367879
29.029,0.047452,0.047452,0.0,0.251954,0.367879
29.2292,0.046465,0.046465,0.0,0.25345,0.367879
29.4294,0.045498,0.045498,0.0,0.254943,0.367879
29.6296,0.044552,0.044552,0.0,0.256433,0.367879
29.8298,0.043625,0.043625,0.0,0.25792,0.367879
30.03,0.042718,0.042718,0.0,0.259404,0.367879
30.2302,0.041829,0.041829,0.0,0.260885,0.367879
30.4304,0.040959,0.040959,0.0,0.262364,0.367879
30.6306,0.040107,0.040107,0.0,0.263839,0.367879
30.8308,0.039273,0.039273,0.0,0.265311,0.367879
31.031,0.038456,0.038456,0.0,0.266781,0.367879
31.2312,0.037656,0.037656,0.0,0.268247,0.367879
31.4314,0.036872,0.036872,0.0,0.269711,0.367879
31.6316,0.036105,0.036105,0.0,0.271171,0.367879
31.8318,0.035354,0.035354,0.0,0.272629,0.367879
32.032,0.034619,0.034619,0.0,0.274084,0.367879
32.2322,0.033899,0.033899,0.0,0.275535,0.367879
32.4324,0.033194,0.033194,0.0,0.276984,0.367879
32.6326,0.032503,0.032503,0.0,0.27843,0.367879
32.8328,0.031827,0.031827,0.0,0.279873,0.367879
33.033,0.031165,0.031165,0.0,0.281314,0.367879
33.2332,0.030517,0.030517,0.0,0.282751,0.367879
33.4334,0.029882,0.029882,0.0,0.284186,0.367879
33.6336,0.02926,0.02926,0.0,0.285617,0.367879
33.8338,0.028652,0.028652,0.0,0.287046,0.367879
34.034,0.028056,0.028056,0.0,0.288472,0.367879
34.2342,0.027472,0.027472,0.0,0.289895,0.367879
34.4344,0.026901,0.026901,0.0,0.291315,0.367879
34.6346,0.026341,0.026341,0.0,0.292733,0.367879
34.8348,0.025793,0.025793,0.0,0.294147,0.367879
35.035,0.025257,0.025257,0.0,0.295559,0.367879
35.2352,0.024731,0.024731,0.0,0.296968,0.367879
35.4354,0.024217,0.024217,0.0,0.298374,0.367879
35.6356,0.023713,0.023713,0.0,0.299777,0.367879
35.8358,0.02322,0.02322,0.0,0.301177,0.367879
36.036,0.022737,0.022737,0.0,0.302575,0.367879
36.2362,0.022264,0.022264,0.0,0.30397,0.367879
36.4364,0.021801,0.021801,0.0,0.305362,0.367879
36.6366,0.021347,0.021347,0.0,0.306751,0.367879
36.8368,0.020903,0.020903,0.0,0.308138,0.367879
37.037,0.020468,0.020468,0.0,0.309521,0.367879
37.2372,0.020042,0.020042,0.0,0.310902,0.367879
37.4374,0.019626,0.019626,0.0,0.312281,0.367879
37.6376,0.019217,0.019217,0.0,0.313656,0.367879
37.8378,0.018818,0.018818,0.0,0.315029,0.367879
38.038,0.018426,0.018426,0.0,0.316399,0.367879
38.2382,0.018043,0.018043,0.0,0.317766,0.367879
38.4384,0.017668,0.017668,0.0,0.31913,0.367879
38.6386,0.0173,0.0173,0.0,0.320492,0.367879
38.8388,0.01694,0.01694,0.0,0.321851,0.367879
39.039,0.016588,0.016588,0.0,0.323207,0.367879
39.2392,0.016243,0.016243,0.0,0.324561,0.367879
39.4394,0.015905,0.015905,0.0,0.325912,0.367879
39.6396,0.015574,0.015574,0.0,0.32726,0.367879
39.8398,0.01525,0.01525,0.0,0.328606,0.367879
40.04,0.014933,0.014933,0.0,0.329948,0.367879
40.2402,0.014622,0.014622,0.0,0.331288,0.367879
40.4404,0.014318,0.014318,0.0,0.332626,0.367879
40.6406,0.01402,0.01402,0.0,0.333961,0.367879
40.8408,0.013729,0.013729,0.0,0.335293,0.367879
41.041,0.013443,0.013443,0.0,0.336622,0.367879
41.2412,0.013163,0.013163,0.0,0.337949,0.367879
41.4414,0.01289,0.01289,0.0,0.339273,0.367879
41.6416,0.012621,0.012621,0.0,0.340594,0.367879
41.8418,0.012359,0.012359,0.0,0.341913,0.367879
42.042,0.012102,0.012102,0.0,0.343229,0.367879
42.2422,0.01185,0.01185,0.0,0.344543,0.367879
42.4424,0.011604,0.011604,0.0,0.345854,0.367879
42.6426,0.011362,0.011362,0.0,0.347162,0.367879
42.8428,0.011126,0.011126,0.0,0.348468,0.367879
43.043,0.010894,0.010894,0.0,0.349771,0.367879
43.2432,0.010668,0.010668,0.0,0.351071,0.367879
43.4434,0.010446,0.010446,0.0,0.352369,0.367879
43.6436,0.010229,0.010229,0.0,0.353664,0.367879
43.8438,0.010016,0.010016,0.0,0.354957,0.367879
44.044,0.009807,0.009807,0.0,0.356247,0.367879
44.2442,0.009603,0.009603,0.0,0.357535,0.367879
44.4444,0.009404,0.009404,0.0,0.35882,0.367879
44.6446,0.009208,0.009208,0.0,0.360102,0.367879
44.8448,0.009017,0.009017,0.0,0.361382,0.367879
45.045,0.008829,0.008829,0.0,0.362659,0.367879
45.2452,0.008645,0.008645,0.0,0.363934,0.367879
45.4454,0.008465,0.008465,0.0,0.365206,0.367879
45.6456,0.008289,0.008289,0.0,0.366475,0.367879
45.8458,0.008117,0.008117,0.0,0.367742,0.367879
46.046,0.007948,0.007948,0.0,0.369007,0.367879
46.2462,0.007783,0.007783,0.0,0.370269,0.367879
46.4464,0.007621,0.007621,0.0,0.371528,0.367879
46.6466,0.007462,0.007462,0.0,0.372785,0.367879
46.8468,0.007307,0.007307,0.0,0.37404,0.367879
47.047,0.007155,0.007155,0.0,0.375292,0.367879
47.2472,0.007006,0.007006,0.0,0.376541,0.367879
47.4474,0.006861,0.006861,0.0,0.377788,0.367879
47.6476,0.006718,0.006718,0.0,0.379032,0.367879
47.8478,0.006578,0.006578,0.0,0.380274,0.367879
48.048,0.006441,0.006441,0.0,0.381514,0.367879
48.2482,0.006307,0.006307,0.0,0.382751,0.367879
48.4484,0.006176,0.006176,0.0,0.383985,0.367879
48.6486,0.006048,0.006048,0.0,0.385217,0.367879
48.8488,0.005922,0.005922,0.0,0.386447,0.367879
49.049,0.005799,0.005799,0.0,0.387674,0.367879
49.2492,0.005678,0.005678,0.0,0.388899,0.367879
49.4494,0.00556,0.00556,0.0,0.390121,0.367879
49.6496,0.005444,0.005444,0.0,0.391341,0.367879
49.8498,0.005331,0.005331,0.0,0.392558,0.367879
50.0501,0.00522,0.00522,0.0,0.393773,0.367879
50.2503,0.005112,0.005112,0.0,0.394985,0.367879
50.4505,0.005005,0.005005,0.0,0.396195,0.367879
50.6507,0.004901,0.004901,0.0,0.397403,0.367879
50.8509,0.004799,0.004799,0.0,0.398608,0.367879
51.0511,0.004699,0.004699,0.0,0.399811,0.367879
51.2513,0.004602,0.004602,0.0,0.401011,0.367879
51.4515,0.004506,0.004506,0.0,0.402209,0.367879
51.6517,0.004412,0.004412,0.0,0.403405,0.367879
51.8519,0.00432,0.00432,0.0,0.404598,0.367879
52.0521,0.00423,0.00423,0.0,0.405789,0.367879
52.2523,0.004142,0.004142,0.0,0.406977,0.367879
52.4525,0.004056,0.004056,0.0,0.408163,0.367879
52.6527,0.003972,0.003972,0.0,0.409347,0.367879
52.8529,0.003889,0.003889,0.0,0.410528,0.367879
53.0531,0.003808,0.003808,0.0,0.411707,0.367879
53.2533,0.003729,0.003729,0.0,0.412884,0.367879
53.4535,0.003652,0.003652,0.0,0.414058,0.367879
53.6537,0.003576,0.003576,0.0,0.41523,0.367879
53.8539,0.003501,0.003501,0.0,0.416399,0.367879
54.0541,0.003428,0.003428,0.0,0.417567,0.367879
54.2543,0.003357,0.003357,0.0,0.418732,0.367879
54.4545,0.003287,0.003287,0.0,0.419894,0.367879
54.6547,0.003219,0.003219,0.0,0.421054,0.367879
54.8549,0.003152,0.003152,0.0,0.422212,0.367879
55.0551,0.003086,0.003086,0.0,0.423368,0.367879
55.2553,0.003022,0.003022,0.0,0.424521,0.367879
55.4555,0.002959,0.002959,0.0,0.425672,0.367879
55.6557,0.002898,0.002898,0.0,0.426821,0.367879
55.8559,0.002837,0.002837,0.0,0.427967,0.367879
56.0561,0.002778,0.002778,0.0,0.429111,0.367879
56.2563,0.002721,0.002721,0.0,0.430253,0.367879
56.4565,0.002664,0.002664,0.0,0.431392,0.367879
56.6567,0.002609,0.002609,0.0,0.43253,0.367879
56.8569,0.002554,0.002554,0.0,0.433664,0.367879
57.0571,0.002501,0.002501,0.0,0.434797,0.367879
57.2573,0.002449,0.002449,0.0,0.435928,0.367879
57.4575,0.002398,0.002398,0.0,0.437056,0.367879
57.6577,0.002348,0.002348,0.0,0.438182,0.367879
57.8579,0.0023,0.0023,0.0,0.439305,0.367879
58.0581,0.002252,0.002252,0.0,0.440427,0.367879
58.2583,0.002205,0.002205,0.0,0.441546,0.367879
58.4585,0.002159,0.002159,0.0,0.442663,0.367879
58.6587,0.002114,0.002114,0.0,0.443777,0.367879
58.8589,0.00207,0.00207,0.0,0.44489,0.367879
59.0591,0.002027,0.002027,0.0,0.446,0.367879
59.2593,0.001985,0.001985,0.0,0.447108,0.367879
59.4595,0.001944,0.001944,0.0,0.448214,0.367879
59.6597,0.001903,0.001903,0.0,0.449317,0.367879
59.8599,0.001864,0.001864,0.0,0.450419,0.367879
60.0601,0.001825,0.001825,0.0,0.451518,0.367879
60.2603,0.001787,0.001787,0.0,0.452615,0.367879
60.4605,0.00175,0.00175,0.0,0.45371,0.367879
60.6607,0.001713,0.001713,0.0,0.454802,0.367879
60.8609,0.001678,0.001678,0.0,0.455893,0.367879
61.0611,0.001643,0.001643,0.0,0.456981,0.367879
61.2613,0.001609,0.001609,0.0,0.458067,0.367879
61.4615,0.001575,0.001575,0.0,0.459151,0.367879
61.6617,0.001542,0.001542,0.0,0.460232,0.367879
61.8619,0.00151,0.00151,0.0,0.461312,0.367879
